Sequence,TotalCDS,Uncounted,%Uncounted,TGA,TAG,TAA,TGA,TAG,TAA,CDSGC,TGA,TAG,TAA,TGA,TAG,TAA,G,C,A,T,CDS Size,Sequence,TotalFASTAsequences,GenomicGC,TAG,TGA,TAA,G,C,A,T,Equal Sequence,Genomic Size,NonCoding Size,%gOffTAG,%gOffTGA,%gOffTAA,NonCoding%,NonCodingG+C,NoncodingA+T,NonCoding%GC,TAG,TGA,TAG
00127GCF_000217715.1_ASM21771v1.fna,4216,179,0.042457306,1977,875,1185,0.489720089,0.216745108,0.293534803,0.66296942,30656,4730,4833,0.762226808,0.117606107,0.120167085,1230890,1242572,693268,564154,3.73E+06,00127GCF_000217715.1_ASM21771v1.fna,4,0.651835543,18350,39933,9953,1420643,1418282,760126,756227,TRUE,4355278,624394,0.268919632,0.585218946,0.145861422,0.143364901,365463,258931,0.585308315,13620,9277,5120
00128GCF_000217995.1_ASM21799v1.fna,1997,67,0.033550325,939,107,884,0.486528497,0.055440415,0.458031088,0.404881177,53398,15891,32242,0.525928042,0.156513774,0.317558184,424433,331832,603225,508379,1.87E+06,00128GCF_000217995.1_ASM21799v1.fna,1,0.39156069,18874,49692,38736,418886,418445,645955,655159,TRUE,2138445,270576,0.175896069,0.463104136,0.360999795,0.126529324,81066,189510,0.299605286,2983,-3706,6494
00129GCF_000220175.1_ASM22017v1.fna,1842,61,0.033116178,377,440,964,0.211678832,0.247052218,0.54126895,0.332844488,35370,21663,34919,0.384657212,0.235590308,0.37975248,264486,214399,538555,421325,1.44E+06,00129GCF_000220175.1_ASM22017v1.fna,1,0.326731343,21794,35749,40919,262183,263102,540263,542149,TRUE,1607697,168932,0.221344275,0.363074079,0.415581646,0.105077014,46400,122532,0.27466673,131,379,6000
00130GCF_000220645.1_ASM22064v1.fna,1830,53,0.028961749,153,125,1499,0.086100169,0.070343275,0.843556556,0.341815185,35221,14999,45105,0.369483346,0.157345922,0.473170732,303836,231974,584308,447425,1.57E+06,00130GCF_000220645.1_ASM22064v1.fna,1,0.329408013,15023,31225,53874,286368,289007,591958,579361,TRUE,1746694,179151,0.150046943,0.311869519,0.538083538,0.102565761,39565,139586,0.220847218,24,-3996,8769
00131GCF_000221185.1_ASM22118v1.fna,2103,57,0.027104137,1453,244,349,0.710166178,0.119257087,0.170576735,0.570898848,30838,12156,14379,0.537500218,0.211876667,0.250623115,562444,497734,442932,353923,1.86E+06,00131GCF_000221185.1_ASM22118v1.fna,1,0.56078788,15662,32724,15256,562581,565344,441510,441887,TRUE,2011322,154289,0.246095346,0.514188743,0.239715911,0.076710243,67747,86542,0.439091575,3506,1886,877
00132GCF_000223395.1_ASM22339v1.fna,1922,66,0.03433923,555,746,555,0.299030172,0.401939655,0.299030172,0.551138286,26277,31225,15549,0.359707602,0.427441103,0.212851296,498744,392370,381202,344545,1.62E+06,00132GCF_000223395.1_ASM22339v1.fna,1,0.549041404,34396,24265,16361,507020,505011,415839,415399,TRUE,1843269,226408,0.458478846,0.323438458,0.218082696,0.122829603,120917,105491,0.534066817,3171,-2012,812
00133GCF_000223905.1_ASM22390v1.fna,3804,117,0.030757098,1852,900,935,0.502305397,0.244100895,0.253593708,0.63698464,38343,7066,5573,0.752088973,0.138597937,0.109313091,1080050,1075764,668011,560580,3.38E+06,00133GCF_000223905.1_ASM22390v1.fna,3,0.624546403,19454,46824,11123,1213777,1215721,728940,731582,TRUE,3890020,505615,0.251340422,0.604953424,0.143706154,0.129977481,273684,231931,0.541289321,12388,8481,5550
00134GCF_000224475.1_ASM22447v1.fna,3638,171,0.047003848,1752,840,875,0.505336025,0.242284396,0.252379579,0.631825809,39668,5921,5409,0.777834425,0.116102592,0.106062983,997546,992215,628851,530612,3.15E+06,00134GCF_000224475.1_ASM22447v1.fna,3,0.623807732,17838,45543,9513,1136997,1135635,687232,683297,TRUE,3643161,493937,0.244711499,0.624783933,0.130504568,0.13557924,282871,211066,0.572686395,11917,5875,4104
00135GCF_000226975.1_HalLac_AJ5_1.fna,4223,263,0.062278001,2223,871,866,0.561363636,0.219949495,0.218686869,0.664092175,31019,4199,3546,0.800201218,0.108322155,0.091476628,1233273,1213218,676810,560662,3.68E+06,00135GCF_000226975.1_HalLac_AJ5_1.fna,156,0.65344635,16879,39443,8766,1412321,1413709,745389,753389,TRUE,4324808,640845,0.259325836,0.605994961,0.134679204,0.148178832,379539,261306,0.592247735,12680,8424,5220
00136GCF_000226975.2_ASM22697v3.fna,4197,140,0.03335716,2275,883,899,0.560759182,0.217648509,0.22159231,0.663445068,32466,4554,3983,0.791795722,0.111065044,0.097139234,1257901,1244915,692662,576976,3.77E+06,00136GCF_000226975.2_ASM22697v3.fna,3,0.652680295,17528,40255,8946,1429250,1430502,758329,763470,TRUE,4381551,609097,0.262674399,0.603260951,0.13406465,0.139014016,356936,252161,0.586008468,12974,7789,4963
00137GCF_000230715.2_ASM23071v3.fna,3737,144,0.038533583,1908,848,837,0.531032563,0.236014473,0.232952964,0.632190946,31277,5820,4706,0.74819989,0.139224458,0.112575652,1014787,1007815,641434,535317,3.20E+06,00137GCF_000230715.2_ASM23071v3.fna,1,0.622355285,17205,38976,9761,1180617,1177087,718771,711882,TRUE,3788357,589004,0.260911104,0.591064875,0.148024021,0.155477427,335102,253902,0.568929922,11385,7699,5055
00138GCF_000230735.2_ASM23073v3.fna,4308,189,0.043871866,2239,924,956,0.543578538,0.224326293,0.232095169,0.650497009,36844,5568,5130,0.774977914,0.117117496,0.10790459,1200598,1211629,698693,597363,3.71E+06,00138GCF_000230735.2_ASM23073v3.fna,3,0.639911008,19804,46262,10751,1391024,1395217,781139,786727,TRUE,4354107,645824,0.257807517,0.602236484,0.139955999,0.148325248,374014,271810,0.579126821,14236,9418,5621
00139GCF_000230955.2_ASM23095v3.fna,3262,126,0.038626609,1681,955,500,0.536033163,0.304528061,0.159438776,0.673053122,24472,4367,2506,0.780730579,0.139320466,0.079948955,929507,952610,499211,415059,2.80E+06,00139GCF_000230955.2_ASM23095v3.fna,2,0.664321838,13806,29772,4929,1050614,1050345,530584,531019,TRUE,3162562,366175,0.284618715,0.613767085,0.1016142,0.115784291,218842,147333,0.597643203,9439,5300,2423
00140GCF_000231015.2_ASM23101v3.fna,1443,39,0.027027027,395,531,478,0.281339031,0.378205128,0.34045584,0.454046001,24836,26507,26874,0.31752688,0.338890523,0.343582597,323295,242652,372730,307776,1.25E+06,00140GCF_000231015.2_ASM23101v3.fna,1,0.44828797,26397,23617,28266,309772,310711,377694,385940,TRUE,1384117,137664,0.33721257,0.301699029,0.361088401,0.0994598,54536,83128,0.396152952,-110,-1219,1392
00141GCF_000235565.1_ASM23556v1.fna,2467,106,0.042967167,1598,500,263,0.676831851,0.211774672,0.111393477,0.620486104,30728,8650,9126,0.633514762,0.178335807,0.188149431,723957,664385,457416,391749,2.24E+06,00141GCF_000235565.1_ASM23556v1.fna,2,0.605963192,15614,34826,13276,779899,778056,504480,508604,TRUE,2571039,333532,0.245056187,0.546581706,0.208362107,0.129726542,169613,163919,0.508535913,6964,4098,4150
00142GCF_000235685.2_ASM23568v3.fna,2043,71,0.034752814,1269,272,431,0.643509128,0.137931034,0.218559838,0.570696164,26151,3444,6993,0.714742539,0.094129223,0.191128239,534864,523298,413392,382606,1.85E+06,00142GCF_000235685.2_ASM23568v3.fna,1,0.565003522,6519,30943,10474,579363,580509,448446,444540,TRUE,2052858,198698,0.135993825,0.645506509,0.218499666,0.096790913,101710,96988,0.511882354,3075,4792,3481
00143GCF_000237865.1_ASM23786v1.fna,2962,145,0.04895341,1345,458,1014,0.477458289,0.16258431,0.359957401,0.490201973,75425,11093,18771,0.716361633,0.105357635,0.178280732,662038,586953,671677,627243,2.55E+06,00143GCF_000237865.1_ASM23786v1.fna,4,0.476760359,20290,80066,33375,777249,777221,854016,851999,TRUE,3260485,712574,0.151722488,0.598709349,0.249568163,0.218548467,305479,407095,0.428697932,9197,4641,14604
00144GCF_000241145.1_ASM24114v2.fna,2536,510,0.201104101,422,505,1099,0.208292201,0.249259625,0.542448174,0.333296817,40138,24608,40340,0.381953828,0.234170108,0.383876063,306602,244083,618587,482964,1.65E+06,00144GCF_000241145.1_ASM24114v2.fna,343,0.325208988,24654,42282,48224,300201,303689,617469,635570,TRUE,1856929,204693,0.214084752,0.367158736,0.418756513,0.110232001,53205,151488,0.25992584,46,2144,7884
00145GCF_000242875.2_ASM24287v3.fna,2007,262,0.130543099,411,416,918,0.235530086,0.238395415,0.526074499,0.342826177,36799,19678,30243,0.424342712,0.226914207,0.348743081,266415,212483,510551,407463,1.40E+06,00145GCF_000242875.2_ASM24287v3.fna,171,0.337975396,19381,37713,36670,262035,269700,512250,529310,TRUE,1573295,176383,0.206699799,0.402211936,0.391088264,0.11211057,52837,123546,0.299558347,-297,914,6427
00146GCF_000243255.1_ASM24325v1.fna,3042,104,0.034188034,1373,268,1297,0.467324711,0.091218516,0.441456773,0.433615966,77572,12932,49585,0.553733698,0.092312744,0.353953558,664205,542086,850000,725643,2.78E+06,00146GCF_000243255.1_ASM24325v1.fna,1,0.422032112,17663,68957,63241,659849,690758,966608,883032,TRUE,3200247,418313,0.117862553,0.460139729,0.421997718,0.130712723,144316,273997,0.344995255,4731,-8615,13656
00147GCF_000243315.1_ASM24331v1.fna,3209,287,0.089435961,1350,637,935,0.46201232,0.218001369,0.319986311,0.487280539,47231,36255,37458,0.390519579,0.299766834,0.309713586,651537,500823,648361,564159,2.36E+06,00147GCF_000243315.1_ASM24331v1.fna,21,0.47744261,40292,52891,46836,667733,672711,732537,734569,TRUE,2807550,442670,0.287760947,0.377741592,0.334497461,0.157671279,188084,254586,0.424885355,4037,5660,9378
00148GCF_000243455.1_ASM24345v2.fna,2036,153,0.075147348,266,201,1416,0.141263941,0.106744557,0.751991503,0.332590056,37309,21855,50002,0.341763919,0.200199696,0.458036385,341017,193255,605159,466967,1.61E+06,00148GCF_000243455.1_ASM24345v2.fna,121,0.324454748,20293,30911,59610,300916,289274,620060,608771,TRUE,1819021,212623,0.183126681,0.278944899,0.537928421,0.1168887,55918,156705,0.262991304,-1562,-6398,9608
00149GCF_000245095.1_ASM24509v2.fna,2865,142,0.0495637,792,541,1390,0.290855674,0.198677929,0.510466397,0.356606398,45961,56814,79836,0.251688014,0.31112036,0.437191626,500981,342907,827209,695344,2.37E+06,00149GCF_000245095.1_ASM24509v2.fna,1,0.350018316,53309,42357,90262,462951,462936,858055,861311,TRUE,2645253,278812,0.286718515,0.227813993,0.485467493,0.105400882,81999,196813,0.294101402,-3505,-3604,10426
00150GCF_000245115.1_ASM24511v2.fna,2946,178,0.06042091,799,554,1415,0.288656069,0.200144509,0.511199422,0.358881622,46537,57175,80307,0.252892364,0.310701612,0.436406023,510636,351749,836442,704152,2.40E+06,00150GCF_000245115.1_ASM24511v2.fna,5,0.352329643,54037,43239,90903,475233,469299,869921,866366,TRUE,2680819,277840,0.287157441,0.229775905,0.483066655,0.10363997,82147,195693,0.295662971,-3138,-3298,10596
00151GCF_000245135.1_ASM24513v2.fna,2856,138,0.048319328,789,546,1383,0.290286976,0.200883002,0.508830022,0.357144979,45728,56405,79312,0.252021274,0.310865552,0.437113175,499022,342698,823074,692008,2.36E+06,00151GCF_000245135.1_ASM24513v2.fna,3,0.350513751,53349,42352,89873,463708,460180,855800,856123,TRUE,2635811,279009,0.287481005,0.228221626,0.484297369,0.105853189,82168,196841,0.294499461,-3056,-3376,10561
00152GCF_000245155.1_ASM24515v2.fna,2933,159,0.054210706,797,554,1423,0.287310743,0.199711608,0.51297765,0.358787992,46497,57132,80287,0.252816503,0.310641815,0.436541682,510125,351316,835902,703632,2.40E+06,00152GCF_000245155.1_ASM24515v2.fna,3,0.352236564,54062,43258,91024,475233,469109,870197,866449,TRUE,2680988,280013,0.28703861,0.229675487,0.483285902,0.104443959,82901,197112,0.296061254,-3070,-3239,10737
00153GCF_000245175.1_ASM24517v2.fna,2829,145,0.05125486,777,536,1371,0.289493294,0.199701937,0.510804769,0.35731882,45167,56042,78416,0.251451635,0.311994433,0.436553932,494602,339994,814796,686326,2.34E+06,00153GCF_000245175.1_ASM24517v2.fna,1,0.35076805,52753,41842,88485,458681,453713,843931,844807,TRUE,2601132,265414,0.288141796,0.228544898,0.483313306,0.102037882,77798,187616,0.293119429,-3289,-3325,10069
00154GCF_000245195.1_ASM24519v2.fna,2832,145,0.051200565,776,535,1376,0.288797916,0.199106811,0.512095274,0.357313949,45402,56275,78575,0.2518807,0.312201806,0.435917493,496123,340444,816845,687854,2.34E+06,00154GCF_000245195.1_ASM24519v2.fna,4,0.350678638,53079,42005,89003,460016,454664,847101,846533,TRUE,2608314,267048,0.288336493,0.228180154,0.483483353,0.102383379,78113,188935,0.292505467,-3196,-3397,10428
00155GCF_000245215.1_ASM24521v2.fna,2906,137,0.04714384,833,548,1388,0.300830625,0.197905381,0.501263994,0.356238836,46369,57319,80790,0.251352465,0.310709136,0.437938399,505010,346554,836658,702208,2.39E+06,00155GCF_000245215.1_ASM24521v2.fna,1,0.349812593,53920,42770,90967,467213,464962,865979,866630,TRUE,2664784,274354,0.28733274,0.227915825,0.484751435,0.102955437,80611,193743,0.293821122,-3399,-3599,10177
00156GCF_000245235.1_ASM24523v2.fna,2813,137,0.048702453,770,544,1362,0.2877429,0.20328849,0.50896861,0.356666264,44745,55754,78109,0.250520693,0.31215847,0.437320837,490399,336867,810549,681625,2.32E+06,00156GCF_000245235.1_ASM24523v2.fna,1,0.350243123,52590,41453,88201,455122,451952,840914,841853,TRUE,2589841,270401,0.288569171,0.227458792,0.483972037,0.10440834,79808,190593,0.295146837,-3164,-3292,10092
00157GCF_000245255.1_ASM24525v2.fna,2918,143,0.049006169,807,550,1418,0.290810811,0.198198198,0.510990991,0.356917167,46747,57733,81085,0.251917118,0.311120093,0.436962789,509858,349772,841636,707220,2.41E+06,00157GCF_000245255.1_ASM24525v2.fna,2,0.350210631,54644,43293,91936,474218,469517,875824,875205,TRUE,2694764,286278,0.287792366,0.228010302,0.484197332,0.106234906,84105,202173,0.293787857,-3089,-3454,10851
00158GCF_000245275.1_ASM24527v2.fna,2867,148,0.051621904,792,546,1381,0.29128356,0.200809121,0.507907319,0.356774382,45619,56368,79163,0.251829975,0.311167541,0.437002484,498732,342258,821768,694446,2.36E+06,00158GCF_000245275.1_ASM24527v2.fna,1,0.350519666,53392,42398,89966,464093,460424,855450,857594,TRUE,2637561,280357,0.287430823,0.228245656,0.484323521,0.106294035,83527,196830,0.297930852,-2976,-3221,10803
00159GCF_000246985.2_ASM24698v3.fna,2408,71,0.02948505,1218,463,656,0.521181001,0.198117244,0.280701754,0.439473507,41760,26617,36869,0.396784676,0.252902723,0.350312601,507087,386095,638068,501141,2.03E+06,00159GCF_000246985.2_ASM24698v3.fna,1,0.430880355,26295,37123,41009,476480,477976,628058,632616,TRUE,2215130,182739,0.251802695,0.355492354,0.392704952,0.082495835,61274,121465,0.335308828,-322,-4637,4140
00160GCF_000251105.1_ASM25110v1.fna,2466,72,0.02919708,925,545,924,0.386382623,0.227652464,0.385964912,0.543729877,34613,18987,30731,0.410442186,0.225148522,0.364409292,631579,531152,529735,445969,2.14E+06,00160GCF_000251105.1_ASM25110v1.fna,1,0.527402216,23038,35901,33578,630681,623713,563550,560495,TRUE,2378439,240004,0.249013695,0.388047602,0.362938703,0.100908201,91663,148341,0.381922801,4051,1288,2847
00161GCF_000253055.1_ASM25305v1.fna,1959,47,0.023991833,713,666,533,0.37290795,0.34832636,0.27876569,0.555558906,22903,21912,16402,0.374128102,0.357939788,0.26793211,493522,409159,380018,342117,1.62E+06,00161GCF_000253055.1_ASM25305v1.fna,1,0.551282511,24734,23475,17868,504503,510708,409052,417281,TRUE,1841544,216728,0.374320868,0.35526734,0.270411792,0.117688201,112530,104198,0.519222251,2822,572,1466
00162GCF_000258515.1_TheZil1.0.fna,1859,62,0.033351264,1260,215,322,0.701168614,0.119643851,0.179187535,0.549140789,28269,12036,16567,0.497063581,0.211633141,0.291303278,475975,404480,404945,317932,1.60E+06,00162GCF_000258515.1_TheZil1.0.fna,5,0.544757291,14022,28585,17273,481192,480078,399495,403819,TRUE,1764584,161252,0.234168337,0.477371409,0.288460254,0.091382445,80815,80437,0.501172078,1986,316,706
00163GCF_000259215.1_ASM25921v1.fna,3839,630,0.164105236,1887,805,517,0.588033655,0.250856965,0.16110938,0.665231488,25713,4268,2574,0.789832591,0.131101213,0.079066196,953559,970969,515872,452620,2.89E+06,00163GCF_000259215.1_ASM25921v1.fna,453,0.65455124,15264,33717,5568,1107603,1107780,587954,581246,TRUE,3384583,491563,0.279821812,0.618104823,0.102073365,0.145235912,290855,200708,0.591694249,10996,8004,2994
00164GCF_000263735.1_ASM26373v1.fna,1826,54,0.029572837,896,366,510,0.505643341,0.206546275,0.287810384,0.427304609,35060,27094,33721,0.365684485,0.282597132,0.351718383,408658,284022,521800,406565,1.62E+06,00164GCF_000263735.1_ASM26373v1.fna,1,0.422933098,24662,29839,34445,364406,370181,501515,500785,TRUE,1736887,115842,0.277269354,0.335473208,0.387257437,0.066695185,41907,73935,0.361759983,-2432,-5221,724
00165GCF_000264495.1_ASM26449v1.fna,1409,40,0.028388928,533,572,264,0.389335281,0.417823229,0.19284149,0.562376748,17412,20521,11897,0.349428055,0.411820189,0.238751756,384868,318374,296929,250311,1.25E+06,00165GCF_000264495.1_ASM26449v1.fna,1,0.556411466,23389,18251,12843,379810,374862,301633,300015,TRUE,1356320,105838,0.42928987,0.334985225,0.235724905,0.078033208,51430,54408,0.485931329,2868,839,946
00166GCF_000265525.1_ASM26552v1.fna,2059,51,0.024769305,1362,290,356,0.678286853,0.144422311,0.177290837,0.567991322,29699,12932,14779,0.517314057,0.225256924,0.257429019,541864,476098,431373,342879,1.79E+06,00166GCF_000265525.1_ASM26552v1.fna,1,0.558175188,16304,31244,15633,543389,545229,431170,430528,TRUE,1950316,158102,0.258052263,0.494515756,0.247431981,0.081064812,70656,87446,0.446901367,3372,1545,854
00167GCF_000275605.1_ASM27560v1.fna,2075,62,0.029879518,936,407,670,0.464977645,0.202185792,0.332836562,0.413729364,36226,30737,38105,0.344786234,0.292543876,0.36266989,428943,301629,581459,453790,1.77E+06,00167GCF_000275605.1_ASM27560v1.fna,1,0.407871636,28806,31630,40855,388162,390799,558694,572164,TRUE,1909819,143998,0.284388544,0.312268612,0.403342844,0.075398768,48389,95609,0.336039389,-1931,-4596,2750
00168GCF_000275865.1_ASM27586v1.fna,2434,103,0.042317173,1541,250,540,0.661089661,0.107250107,0.231660232,0.620270158,32360,2526,5059,0.810113907,0.063236951,0.126649143,681648,684582,435851,400556,2.20E+06,00168GCF_000275865.1_ASM27586v1.fna,1,0.609699087,9208,36921,8370,755014,753687,483763,482037,TRUE,2474501,271864,0.168957229,0.677461972,0.1535808,0.109866191,142471,129393,0.524052467,6682,4561,3311
00169GCF_000281695.1_ASM28169v1.fna,3734,149,0.039903589,1887,763,935,0.526359833,0.212831241,0.260808926,0.652276719,30377,4298,4356,0.778278804,0.110117599,0.111603597,1036195,1042123,595165,512769,3.19E+06,00169GCF_000281695.1_ASM28169v1.fna,2,0.641062227,15925,39657,9481,1216621,1215321,683091,678580,TRUE,3793613,607361,0.244762768,0.60951693,0.145720302,0.160100938,353624,253737,0.582230337,11627,9280,5125
00170GCF_000283335.1_162.HSB1.1.fna,4423,178,0.040244178,2253,1014,978,0.530742049,0.238869258,0.230388693,0.633050959,38692,7040,4876,0.764543155,0.139108441,0.096348403,1194238,1254198,769847,649393,3.87E+06,00170GCF_000283335.1_162.HSB1.1.fna,17,0.62200425,22136,51107,10026,1398251,1395993,852823,845256,TRUE,4492323,624647,0.265837226,0.613757821,0.120404953,0.13904766,345808,278839,0.553605476,15096,12415,5150
00171GCF_000296615.1_ASM29661v1.fna,3036,109,0.035902503,1809,631,487,0.618038948,0.215579091,0.166381961,0.695325949,22929,3385,2473,0.796505367,0.1175878,0.085906833,951557,931054,444409,380503,2.71E+06,00171GCF_000296615.1_ASM29661v1.fna,10,0.684778066,10130,27951,6483,1079999,1089356,495839,502774,TRUE,3167968,460445,0.227313527,0.627210304,0.145476169,0.145343955,286744,173701,0.622754075,6745,5022,4010
00172GCF_000299395.1_ASM29939v1.fna,1979,69,0.034866094,435,485,990,0.227748691,0.253926702,0.518324607,0.34371122,40242,21522,31581,0.431110397,0.230564037,0.338325566,288753,232792,555486,440362,1.52E+06,00172GCF_000299395.1_ASM29939v1.fna,1,0.335887582,22089,39290,38428,283029,284926,559291,563662,TRUE,1690908,173515,0.221317142,0.393659763,0.385023095,0.102616464,46410,127105,0.267469671,567,-952,6847
00173GCF_000300255.2_ASM30025v2.fna,1602,44,0.027465668,1315,32,211,0.844030809,0.020539153,0.135430039,0.567101258,19695,6534,7167,0.589741286,0.195652174,0.21460654,436221,407227,364505,279344,1.49E+06,00173GCF_000300255.2_ASM30025v2.fna,1,0.555948726,9328,24171,8640,463419,463233,368847,371295,TRUE,1666794,179497,0.221362633,0.573601652,0.205035715,0.107689972,83204,96293,0.463539781,2794,4476,1473
00174GCF_000302455.1_ASM30245v1.fna,2521,83,0.032923443,567,342,1529,0.232567678,0.140278917,0.627153404,0.408305975,49523,20791,50509,0.409880569,0.172078164,0.418041267,475085,412553,708821,577494,2.17E+06,00174GCF_000302455.1_ASM30245v1.fna,28,0.380209461,26991,51737,75311,510441,510164,820890,842828,TRUE,2684323,510370,0.175221859,0.335869488,0.488908653,0.190129876,132967,377403,0.260530595,6200,2214,24802
00175GCF_000304355.2_Mb_MS2.fna,2630,117,0.044486692,1563,407,543,0.621965778,0.161957819,0.216076403,0.616920909,35943,4380,6576,0.766391607,0.093392183,0.140216209,725050,703191,462115,424756,2.32E+06,00175GCF_000304355.2_Mb_MS2.fna,1,0.606400299,12622,42910,10897,848819,842902,543698,554357,TRUE,2789776,474664,0.190007376,0.645952822,0.164039802,0.170144126,263480,211184,0.555087388,8242,6967,4321
00176GCF_000306725.1_ASM30672v1.fna,2921,99,0.033892503,1325,342,1155,0.469525159,0.121190645,0.409284196,0.461571182,62114,20446,35298,0.527024046,0.17347995,0.299496004,656873,559542,773072,645892,2.64E+06,00176GCF_000306725.1_ASM30672v1.fna,1,0.446108885,26299,62840,45031,685301,685489,852701,849279,TRUE,3072770,437391,0.196012521,0.468361035,0.335626444,0.142344204,154375,283016,0.352945077,5853,726,9733
00177GCF_000306765.2_ASM30676v2.fna,3836,126,0.032846715,1770,724,1216,0.477088949,0.195148248,0.327762803,0.617197183,35025,6714,6941,0.719494659,0.137921118,0.142584224,1004657,1055899,687012,591002,3.34E+06,00177GCF_000306765.2_ASM30676v2.fna,4,0.602709229,19532,46006,13872,1177881,1175534,775973,775339,TRUE,3904727,566157,0.245963984,0.579347689,0.174688326,0.144992723,292859,273298,0.517275243,12818,10981,6931
00178GCF_000308215.1_ASM30821v1.fna,2608,97,0.037193252,1802,278,431,0.717642374,0.110712863,0.171644763,0.615417699,32910,7739,7677,0.680999876,0.160141539,0.158858585,742005,686041,485055,407349,2.32E+06,00178GCF_000308215.1_ASM30821v1.fna,26,0.604786502,13693,39093,10663,792347,792366,515676,519896,TRUE,2620285,299835,0.215811124,0.616132642,0.168056234,0.114428392,156667,143168,0.522510714,5954,6183,2986
00179GCF_000317795.1_ASM31779v1.fna,1511,43,0.028457975,289,192,987,0.196866485,0.130790191,0.672343324,0.310870748,26984,28234,52536,0.250422258,0.262022756,0.487554986,254362,170801,523891,418598,1.37E+06,00179GCF_000317795.1_ASM31779v1.fna,1,0.300341081,25495,25621,62171,234603,229979,542242,540024,TRUE,1546848,179196,0.225047887,0.226160107,0.548792006,0.115845901,39419,139777,0.219977008,-2739,-1363,9635
00180GCF_000320505.1_ASM32050v2.fna,1760,97,0.055113636,154,366,1143,0.092603728,0.220084185,0.687312087,0.324642745,40473,23647,57695,0.332249723,0.194122235,0.473628043,304352,215614,581657,500033,1.60E+06,00180GCF_000320505.1_ASM32050v2.fna,54,0.289860541,27568,38898,85846,307045,285983,711771,741109,TRUE,2045908,444252,0.180996901,0.255383686,0.563619413,0.217141729,73062,371190,0.164460711,3921,-1575,28151
00181GCF_000327485.1_ASM32748v1.fna,2877,136,0.047271463,1478,258,1005,0.539219263,0.094126231,0.366654506,0.563863743,40311,4342,11380,0.719415345,0.077490051,0.203094605,690863,696270,562943,509974,2.46E+06,00181GCF_000327485.1_ASM32748v1.fna,1,0.551959527,9953,45959,17801,777632,779368,634194,629665,TRUE,2820859,360809,0.135023673,0.623485681,0.241490646,0.127907492,169867,190942,0.470794797,5611,5648,6421
00182GCF_000327505.1_ASM32750v1.fna,1501,40,0.026648901,747,201,513,0.511293634,0.137577002,0.351129363,0.446910456,31886,11482,20789,0.496999548,0.178967221,0.324033231,350971,257633,415379,337820,1.36E+06,00182GCF_000327505.1_ASM32750v1.fna,1,0.441294335,11274,26666,20442,316151,318030,400445,402467,TRUE,1437093,75290,0.193107465,0.456750368,0.350142167,0.052390486,25577,49713,0.339713109,-208,-5220,-347
00183GCF_000328285.1_Haloferax_sp._BAB2207_V.1.fna,4633,1185,0.255773797,2083,613,752,0.604118329,0.177784223,0.218097448,0.668428921,26110,3635,3444,0.786706439,0.10952424,0.103769321,1033172,1105719,570970,490017,3.20E+06,00183GCF_000328285.1_Haloferax_sp._BAB2207_V.1.fna,777,0.657794059,14804,36847,7744,1231256,1233993,644280,638223,TRUE,3747752,547874,0.24924657,0.620372085,0.130381345,0.146187368,326358,221516,0.595680759,11169,10737,4300
00184GCF_000328665.1_ASM32866v1.fna,2583,71,0.027487418,1204,237,1071,0.479299363,0.094347134,0.426353503,0.432595525,54571,23613,37180,0.473033182,0.20468257,0.322284248,558465,462874,722912,616705,2.36E+06,00184GCF_000328665.1_ASM32866v1.fna,2,0.418670708,27627,54348,44971,571485,564794,781353,796384,TRUE,2714016,353060,0.217627968,0.428119043,0.354252989,0.130087663,114940,238120,0.32555373,4014,-223,7791
00185GCF_000328685.1_ASM32868v1.fna,4221,175,0.04145937,2133,1188,725,0.527187346,0.293623332,0.179189323,0.659422495,32717,5025,4595,0.772775586,0.118690507,0.108533907,1216263,1206690,672876,578527,3.67E+06,00185GCF_000328685.1_ASM32868v1.fna,3,0.646636708,18337,41037,10231,1394619,1395050,762967,761485,TRUE,4314121,639765,0.263443718,0.589569715,0.146986567,0.148295562,366716,273049,0.573204223,13312,8320,5636
00186GCF_000328925.1_NAR.fna,4063,188,0.046271228,915,994,1966,0.236129032,0.256516129,0.507354839,0.342746231,82383,42916,62843,0.43787671,0.228104304,0.334018986,587671,475292,1143750,894599,3.10E+06,00186GCF_000328925.1_NAR.fna,58,0.337319656,42225,84400,76019,578334,582614,1125298,1155439,TRUE,3441685,340373,0.208370344,0.41649395,0.375135706,0.098897197,97985,242388,0.28787536,-691,2017,13176
00187GCF_000328945.1_NSJ.fna,1927,78,0.040477426,437,487,925,0.23634397,0.263385614,0.500270416,0.346986251,39635,20041,28935,0.447292097,0.226168309,0.326539594,284935,231604,545873,426232,1.49E+06,00187GCF_000328945.1_NSJ.fna,15,0.34194713,20404,38140,35046,281144,283356,541640,544700,TRUE,1650840,162196,0.218014745,0.407522171,0.374463084,0.098250588,47961,114235,0.295697798,363,-1495,6111
00188GCF_000334895.1_ASM33489v1.fna,3432,194,0.056526807,2123,739,376,0.655651637,0.228227301,0.116121062,0.667919335,27256,3003,1649,0.854205842,0.094114329,0.05167983,1000711,991669,529841,460744,2.98E+06,00188GCF_000334895.1_ASM33489v1.fna,58,0.660215028,12077,34430,4319,1148364,1147100,590802,590577,TRUE,3476843,493878,0.237614607,0.6774092,0.084976193,0.142047829,303084,190794,0.613681921,9074,7174,2670
